,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
26852,HL-60,H3K27ac,MER47B,0.011944222215231295,0.7794778638080512,-0.07158179632869836,0.09530388892912643
26853,HL-60,H3K27ac,SVA_C,0.09489228542477415,0.02646791236770788,0.011145430743122775,0.1773171866034866
26854,HL-60,H3K27ac,MER51B,-0.028671913838622266,0.5045567977383915,-0.11246737957974999,0.055528480542099065
26855,HL-60,H3K27ac,X7C_LINE,-0.009325079117428827,0.827739960381438,-0.09308782600011095,0.07456873711622515
26856,HL-60,H3K27ac,MER4E,-0.049272009512993924,0.2588505970912791,-0.1341203741301306,0.03629353531691974
26857,HL-60,H3K27ac,Eutr15,-0.047739012060094586,0.26766974551982403,-0.13150927233074647,0.0367082184726599
26858,HL-60,H3K27ac,MamGypLTR4,-0.06584464121844322,0.12505915820206248,-0.1490859523562982,0.018323335895250342
26859,HL-60,H3K27ac,MER34A1,0.05361238535660084,0.21440977004064596,-0.03106279582167309,0.13752351803207857
26860,HL-60,H3K27ac,MER54A,0.0003197579118505299,0.9942186681546344,-0.08600178810724067,0.08663653889934253
26861,HL-60,H3K27ac,MER76,-0.008456784206009219,0.8483178313843024,-0.0948744801410319,0.07808741651590977
26862,HL-60,H3K27ac,LTR47A,-0.06124851003048694,0.1615106609772572,-0.146138971356473,0.024537383195963557
26863,HL-60,H3K27ac,MER57A-int,-0.06984269190814134,0.11097194869882618,-0.15473643877308163,0.01607489571631544
26864,HL-60,H3K27ac,MER5C1,-0.024157405646372736,0.5844017566370598,-0.11033012406285914,0.06237579708993086
26865,HL-60,H3K27ac,L1M3c,-0.04790804294522167,0.27643646646930253,-0.13350923036070483,0.038402691122092616
26866,HL-60,H3K27ac,MamRep488,-0.028417881545325898,0.5195140017558186,-0.11445629160817924,0.058043672311171975
26867,HL-60,H3K27ac,LTR9B,-0.059451268533054644,0.18399618282545946,-0.14629231479112956,0.02829906826597686
26868,HL-60,H3K27ac,LTR81C,0.0018807385864432688,0.966138152646827,-0.0847890663489542,0.08852229771110558
26869,HL-60,H3K27ac,Kanga1d,-0.11710356840294238,0.00837063802612941,-0.20220815773920894,-0.03024360554154979
26870,HL-60,H3K27ac,Charlie21a,-0.07440635724268364,0.09487045035729395,-0.16061858839338458,0.012932625341844336
26871,HL-60,H3K27ac,LTR12F,0.2412897564352423,1.0482347131221763e-07,0.1545835035841196,0.3243075795012367
26872,HL-60,H3K27ac,Mam_R4,-0.00825125469634818,0.8536882368946036,-0.09569772912793201,0.07932160352879902
26873,HL-60,H3K27ac,MSTA1,0.0390849700441519,0.3879709471317543,-0.04966865069037322,0.12722614360093662
26874,HL-60,H3K27ac,MER65C,-0.11002335913841087,0.014926737858383745,-0.19677587560548276,-0.02156144710396724
26875,HL-60,H3K27ac,LTR87,-0.14680939883861527,0.0010535895478704018,-0.23194112295930833,-0.059445806950409324
26876,HL-60,H3K27ac,LTR29,-0.12316600654716228,0.006782433978343627,-0.21016845679473076,-0.03422812485794462
26877,HL-60,H3K27ac,Tigger6a,-0.08440548333584075,0.061640954380253125,-0.17161499065681654,0.004116590073015676
26878,HL-60,H3K27ac,MER44D,-0.017319164709891997,0.7033120080895564,-0.10610148807738634,0.07173711305190947
26879,HL-60,H3K27ac,Tigger3d,-0.03951585930596512,0.3921915399917861,-0.12940612549917618,0.05101858597168391
26880,HL-60,H3K27ac,MER4C,-0.0531673588480815,0.24498215621997957,-0.14199214363294121,0.03650681372467721
26881,HL-60,H3K27ac,Eutr11,-0.008460128064971997,0.8545493328008447,-0.09864124735799262,0.08185881765542376
26882,HL-60,H3K27ac,Charlie17b,-0.06595776500477307,0.14820956731539375,-0.15436282502545678,0.023495051988810706
26883,HL-60,H3K27ac,Arthur1C,-0.0934206935863491,0.04097914031990435,-0.1814955048695393,-0.0038590786143940627
26884,HL-60,H3K27ac,LTR105_Mam,-0.01047962842510947,0.8190516522224546,-0.09997967159087341,0.07918863782649752
26885,HL-60,H3K27ac,Charlie26a,0.039461256035254536,0.39083371265772343,-0.05068941558147658,0.1289740581679611
26886,HL-60,H3K27ac,X24_DNA,-0.06633311639323274,0.14888590700555085,-0.1553765295581169,0.02377950668188621
26887,HL-60,H3K27ac,LTR83,-0.06041654057317093,0.19104083553593795,-0.15004505545744673,0.030196921437743128
26888,HL-60,H3K27ac,LTR106_Mam,-0.10951155947969822,0.018039960843718013,-0.19837437910804842,-0.01886303084012221
26889,HL-60,H3K27ac,HERVL40-int,-0.13532598502175208,0.003828274411494104,-0.22446226918059337,-0.04394399250294998
26890,HL-60,H3K27ac,MamGypLTR3,-0.029304848826577273,0.5320467725892618,-0.1207074825222253,0.06259049879457454
26891,HL-60,H3K27ac,LTR90B,-0.02256939742880629,0.6292348232965814,-0.11376187272873095,0.0690001995888119
26892,HL-60,H3K27ac,hAT-N1a_Mam,-0.12840238600018322,0.006092808376747588,-0.21776064038024834,-0.03690938864603643
26893,HL-60,H3K27ac,X5a_DNA,-0.06680413271403927,0.15760065244809537,-0.15836653310794122,0.025897415242569784
26894,HL-60,H3K27ac,AmnSINE2,-0.012397685129138495,0.7919846152081923,-0.10420759009046,0.07962173060768703
26895,HL-60,H3K27ac,HERVH-int,-0.028949648199019008,0.5415449004407329,-0.12137220364699741,0.06397055902147372
26896,HL-60,H3K27ac,L1MEg1,-0.15538123672317153,0.0009061910886098448,-0.2440195451916755,-0.06416826399920321
26897,HL-60,H3K27ac,MER9a3,0.014662106422269786,0.7604126416187779,-0.0794677344403274,0.1085327818946158
26898,HL-60,H3K27ac,LTR26,-0.03372627441649879,0.47941257460692593,-0.12660010342562783,0.059733708531830666
26899,HL-60,H3K27ac,MER34B,-0.03791860132880858,0.42230635941757144,-0.12990174356946174,0.05471163616038096
26900,HL-60,H3K27ac,MER70B,-0.0615150279240355,0.1977809471449361,-0.1541128038220469,0.032153906843993635
26901,HL-60,H3K27ac,MER110A,0.03887024934850806,0.4165580080820827,-0.05492009060250488,0.13198066530270222
26902,HL-60,H3K27ac,LTR84a,-0.019837708190171856,0.6778122186475175,-0.11300624748462344,0.07367664304779732
26903,HL-60,H3K27ac,MER66C,-0.07090006524385271,0.14031099640932612,-0.16393466606550772,0.02338465374182836
26904,HL-60,H3K27ac,L1M6B,-0.15119457252320911,0.0015640002917245205,-0.24177790485977538,-0.05799875379395975
26905,HL-60,H3K27ac,LTR10C,-0.0163755621160864,0.73881951694859,-0.11222921695596652,0.07978003640141804
26906,HL-60,H3K27ac,L1MDb,-0.09904224405216638,0.043238245536822546,-0.19323452326959598,-0.0030410267631456917
26907,HL-60,H3K27ac,PABL_A,-0.04348243890667826,0.37867947342434727,-0.13950807930465328,0.05335339565551699
26908,HL-60,H3K27ac,LTR53,-0.03693267850514782,0.45468397506501346,-0.1330695707420647,0.05989272808988482
26909,HL-60,H3K27ac,MER70A,-0.09510919870715502,0.0514428680793508,-0.18907470314799305,0.000582305566773959
26910,HL-60,H3K27ac,MER75,0.09789198722559839,0.04521755337523889,0.0021113484283203916,0.19189283712192667
26911,HL-60,H3K27ac,MER34C_v,-0.01129453956212871,0.8205137606049316,-0.10849899624215557,0.08612385173416556
26912,HL-60,H3K27ac,MLT2E,-0.003666343423027573,0.9407849438569736,-0.10012546498482561,0.09286105332169654
26913,HL-60,H3K27ac,Ricksha,-0.10545120894120479,0.03236348163634392,-0.20002509079404265,-0.008930489547690107
26914,HL-60,H3K27ac,Charlie30a,0.09430291105935237,0.055502397844220654,-0.002211759487568126,0.18907690896973675
26915,HL-60,H3K27ac,LTR40A1,-0.06324733328493498,0.20123856418905978,-0.15911997282232257,0.03380704862237667
26916,HL-60,H3K27ac,LTR37-int,-0.09552258384646695,0.053566172077382,-0.19072178977625137,0.0014566594193282786
26917,HL-60,H3K27ac,Helitron2Na_Mam,0.07637087037184434,0.12445738076351598,-0.021109753703623176,0.17241309766636587
26918,HL-60,H3K27ac,LTR80B,-0.07942602510229323,0.11547819064903143,-0.17683470635000073,0.019523478354178583
26919,HL-60,H3K27ac,MER4B-int,-0.07132391414204209,0.1581751950772355,-0.16905321451992109,0.027794245117435626
26920,HL-60,H3K27ac,Charlie13a,-0.09876141803700156,0.047556584606500744,-0.19456997554054936,-0.0010862110362205206
26921,HL-60,H3K27ac,MER57E1,-0.07278071917555162,0.14572102399343884,-0.16950186994789163,0.025329062056845313
26922,HL-60,H3K27ac,Charlie14a,6.65600214993371e-05,0.9989385196735913,-0.09774131790854063,0.09787316449106627
26923,HL-60,H3K27ac,MER45R,-0.05127080457089758,0.31066223690882744,-0.14943495509037094,0.047894162418565506
26924,HL-60,H3K27ac,MamTip1b,-0.040621170978284604,0.42075990583780754,-0.13873612535720037,0.05828346405268281
26925,HL-60,H3K27ac,LTR86A1,-0.0091817983840693,0.8551087328439047,-0.10738292013366701,0.0891967468923527
26926,HL-60,H3K27ac,THE1D-int,-0.05904589885950893,0.25660310377759155,-0.15990075734656,0.043028937712563504
26927,HL-60,H3K27ac,Eutr2B,-0.1732813578812543,0.0006594669244314744,-0.2688201741008261,-0.07436605307139846
26928,HL-60,H3K27ac,LTR13,0.011311729033996054,0.8271748180282081,-0.09006248872753861,0.11245395395533785
26929,HL-60,H3K27ac,X9_LINE,-0.0026844586378624866,0.9582384469204087,-0.10286338041480848,0.09754837399153686
26930,HL-60,H3K27ac,L1M3d,-0.016268913045264028,0.7547938255248301,-0.11788978996995642,0.08568917985304393
26931,HL-60,H3K27ac,L1M3a,-0.03566125798419435,0.4899824922319769,-0.13617254066749956,0.06557669511683846
26932,HL-60,H3K27ac,Eutr16,-0.06080054418127935,0.2376650314437824,-0.16055181114613434,0.040180149556279465
