,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
20391,HAP-1,H3K27ac,X34_DNA,-0.49090909090909085,0.14965567342083677,-0.8671357582518261,0.24200406527714005
20392,HAP-1,H3K27ac,HERVK9-int,,,,
20393,HAP-1,H3K27ac,LTR70,0.05053357931441451,0.652087418426067,-0.16845610404463388,0.2647695111661186
20394,HAP-1,H3K27ac,LTR28,0.03514943607766532,0.727120576281148,-0.16145811690036305,0.22907339440355298
20395,HAP-1,H3K27ac,L1P4b,0.25088885956417084,0.08542871821768955,-0.040353226028452996,0.502838092047992
20396,HAP-1,H3K27ac,UCON14,0.07996488148854282,0.7448654146688325,-0.3890139999476244,0.5160270153227903
20397,HAP-1,H3K27ac,MER11B,-0.020003660245845493,0.8523938026790305,-0.2273334788218118,0.18906098320716253
20398,HAP-1,H3K27ac,Zaphod5a,-0.005265467817119168,0.9829317746665556,-0.45838116771796705,0.4500228060675554
20399,HAP-1,H3K27ac,LTR26B,-0.08841905049187557,0.41267758456506476,-0.2928251453112029,0.12371544452521009
20400,HAP-1,H3K27ac,LTR10B2,0.03569391984341917,0.7517345489201975,-0.18415851476378575,0.25214486850562134
20401,HAP-1,H3K27ac,HERV9NC-int,0.05779902672244514,0.6840054945184497,-0.21877111256762696,0.3257730590813514
20402,HAP-1,H3K27ac,LTR19C,0.023324874467515296,0.8447081898587895,-0.20788831154640888,0.252069469759017
20403,HAP-1,H3K27ac,MER88,-0.1682925939228511,0.16688395549526333,-0.3909035253533913,0.07291849231612149
20404,HAP-1,H3K27ac,LTR59,0.12547500797896494,0.246860523425516,-0.08831915398852343,0.3282176963691484
20405,HAP-1,H3K27ac,Eulor11,-0.16590566413334404,0.6258870530242109,-0.6989053718643551,0.4855725240991394
20406,HAP-1,H3K27ac,UCON9,0.01818181818181818,0.9602404181286243,-0.618563002320029,0.6405122133742213
20407,HAP-1,H3K27ac,MER83B,-0.12218876034370592,0.2567531953307932,-0.32406487796475136,0.0903306949429035
20408,HAP-1,H3K27ac,LTR77,-0.03362084529227482,0.755823531867213,-0.241420076057041,0.17712644154056398
20409,HAP-1,H3K27ac,LTR53-int,-0.1728530847695946,0.3441235013099794,-0.4939493254922591,0.1897314263862578
20410,HAP-1,H3K27ac,CR1-13_AMi,,,,
20411,HAP-1,H3K27ac,LTR75_1,0.09344414403194765,0.45197465386626945,-0.15065655608252485,0.3268052371144092
20412,HAP-1,H3K27ac,HERVE_a-int,0.15573270860912616,0.550604924395751,-0.3539729340111933,0.594113140167041
20413,HAP-1,H3K27ac,LTR4,0.17251592800905033,0.14442648929586477,-0.06166013139156035,0.3886897534350107
20414,HAP-1,H3K27ac,MER75B,-0.03220352419046312,0.7658148642498274,-0.24007878583375775,0.17849563960234144
20415,HAP-1,H3K27ac,LTR47B4,-0.16617598243370027,0.135677748425477,-0.37115481856628163,0.054245537270307266
20416,HAP-1,H3K27ac,HERVL18-int,0.1431546334978017,0.18591217288410267,-0.07067964097960788,0.34440973233584304
20417,HAP-1,H3K27ac,HERV9N-int,-0.04576059351378789,0.7449019638944583,-0.3123238751074302,0.22748277291402103
20418,HAP-1,H3K27ac,Eulor1,-0.20302244168760958,0.3097986130587744,-0.5441696620244884,0.1957358241160356
20419,HAP-1,H3K27ac,HERVK22-int,-0.19445275869380554,0.11484084663292757,-0.4171704500848741,0.05029732618654536
20420,HAP-1,H3K27ac,HERVK14-int,0.017699116354361662,0.9330793028256079,-0.3801179249202069,0.40999017594061465
